Date,V_max,Mean_Hyst_poly3_nA,Std_Hyst_poly3_nA,Max_Hyst_poly3_nA,Min_Hyst_poly3_nA,n_points
2025-09-11,1.0,0.05553941300793632,0.9329275470028116,1.9214244893347028,-1.1942571088457121,35
2025-09-11,2.0,2.9072238381944593,4.467714491472926,16.7077041732008,-3.81411375784637,55
2025-09-11,3.0,5.641700844003233,11.000170422741629,26.18518915912373,-14.481999715333757,75
2025-09-11,4.0,7.618782461551691,17.898600248946153,36.6339127418609,-29.31749962081425,95
2025-09-11,5.0,4.2549944701898506,26.606465957416916,39.53733179151809,-47.141943449472414,115
2025-09-11,6.0,2.943872034005031,36.88729275402846,61.71827601395941,-63.62379432447183,135
2025-09-11,7.0,7.691861738966167,51.08092132691142,95.01038611036206,-77.83357314552899,155
2025-09-11,8.0,10.850625569179352,49.115114601512445,101.26300235887307,-65.75779107624292,175
2025-09-29,3.0,10.310151527013653,23.945762753505115,49.461260753459115,-41.47104215839869,75
2025-09-29,4.0,9.025221660126055,46.17006611055773,82.61796108104596,-82.17518223470559,95
2025-09-29,5.0,3.6987904811692385,72.65945849201304,110.24919462746344,-133.63407461506262,115
2025-09-29,6.0,3.1523086403879876,114.96499789948152,179.69887500975034,-193.4594596963383,135
2025-09-29,7.0,6.37242545539647,188.26066060274277,303.07975064569206,-296.35813724589656,155
2025-09-29,8.0,-4.885718920993667,200.67174866898944,333.22312746590814,-334.389378872891,175
2025-09-30,3.0,11.95627200988183,31.037259192210936,51.9034778109072,-60.16439944483603,75
2025-09-30,4.0,12.279197014188153,61.41203963651443,101.87117100828215,-113.81876100104105,95
2025-09-30,5.0,12.143823082205547,90.9199313934659,151.08459063627424,-154.99441146005816,115
2025-09-30,6.0,24.133145488833822,133.6480254553671,239.17466045549543,-180.70906311991124,135
2025-09-30,7.0,39.498450178761836,190.69838531717946,368.6747460441474,-227.92456437143161,155
2025-09-30,8.0,20.262361938204084,213.04603740592964,405.8633451187843,-286.50481360189667,175
