Date,V_max,Resistance_MΩ,R²,n_runs
2025-09-11,1.0,35.48585276981117,0.8290391356468455,105
2025-09-11,2.0,18.517036282388883,0.8995840973525794,100
2025-09-11,3.0,14.516693144478111,0.9499437270457041,100
2025-09-11,4.0,13.331876614866868,0.966197478198362,100
2025-09-11,5.0,13.989240078025194,0.9782580927690211,100
2025-09-11,6.0,14.802716474965019,0.9762501931759449,100
2025-09-11,7.0,17.457402759822948,0.976704180189417,100
2025-09-11,8.0,16.358663228395695,0.9689629277200319,100
2025-09-29,3.0,6.844206136990658,0.9498498017424296,100
2025-09-29,4.0,6.0168683444279365,0.9557308520438166,100
2025-09-29,5.0,5.7852504366015545,0.9516546511276759,100
2025-09-29,6.0,5.741366213356398,0.9473707704522429,100
2025-09-29,7.0,5.830534586287182,0.9506277198561847,100
2025-09-29,8.0,6.510031043227901,0.9533577044677827,100
2025-09-30,3.0,5.461897229938889,0.9618170218772916,100
2025-09-30,4.0,5.097009597310383,0.9703160284788627,100
2025-09-30,5.0,4.963659205177061,0.9686757063589497,100
2025-09-30,6.0,5.174132518043753,0.9661955884680671,100
2025-09-30,7.0,5.272422684727675,0.9610578087061262,100
2025-09-30,8.0,5.533625559391177,0.941331213625278,100
